Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names;NED notes;OpenNGC notes;Sources
Caph;Star;00:09:10.69;+59:08:59.2;Cas;;;;;2.28;;;;;;;;;;;;;;;;;;HR 21,bet Cas,HIP 746,HD 432;Caph;;;
Castor;Star;07:34:35.86;+31:53:17.8;Gem;;;;;1.98;;;;;;;;;;;;;;;;;;HR 2891,alf Gem,HIP 36850,HD 60179;Castor;;;
Castula;Star;00:56:39.91;+59:10:51.8;Cas;;;;;4.62;;;;;;;;;;;;;;;;;;HR 265,ups02 Cas,HIP 4422,HD 5395;Castula;;;
Cebalrai;Star;17:43:28.35;+04:34:02.3;Oph;;;;;2.76;;;;;;;;;;;;;;;;;;HR 6603,bet Oph,HIP 86742,HD 161096;Cebalrai;;;
Ceibo;Star;07:39:21.85;-78:16:44.3;Cha;;;;;9.37;;;;;;;;;;;;;;;;;;HD 63454,HIP 37284,HD 63454;Ceibo;;;
Celaeno;Star;03:44:48.21;+24:17:22.1;Tau;;;;;5.45;;;;;;;;;;;;;;;;;;HR 1140,16 Tau,HIP 17489,HD 23288;Celaeno;;;
Cervantes;Star;17:44:08.70;-51:50:02.6;Ara;;;;;5.15;;;;;;;;;;;;;;;;;;HR 6585,mu Ara,HIP 86796,HD 160691;Cervantes;;;
Chalawan;Star;10:59:27.97;+40:25:48.9;UMa;;;;;5.03;;;;;;;;;;;;;;;;;;HR 4277,47 UMa,HIP 53721,HD 95128;Chalawan;;;
Chamukuy;Star;04:28:39.74;+15:52:15.2;Tau;;;;;3.73;;;;;;;;;;;;;;;;;;HR 1412,tet02 Tau,HIP 20894,HD 28319;Chamukuy;;;
Chaophraya;Star;02:54:45.13;-10:53:53.0;Eri;;;;;11.55;;;;;;;;;;;;;;;;;;WASP-50;Chaophraya;;;
