Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names;NED notes;OpenNGC notes;Sources
PK 10-01 1;PN;18:16:17.26;-20:26:59.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 11+05 1;PN;17:48:19.82;-16:28:44.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 11+06 1;PN;17:46:54.26;-16:17:23.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 11-05 1;PN;18:29:11.31;-21:46:53.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 11+11 1;PN;17:28:34.19;-13:26:20.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 11+02 1;PN;18:00:09.07;-17:40:29.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 11-09 1;PN;18:46:34.24;-23:26:50.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 11-00 1;PN;18:11:48.47;-18:46:02.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 11-00 2;PN;18:13:45.06;-19:04:19.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 11-06 1;PN;18:36:34.25;-21:48:57.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 11+04 1;PN;17:56:19.55;-16:29:01.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 12-09 1;PN;18:50:25.97;-22:34:21.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 12-02 1;PN;18:23:08.08;-19:17:06.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 13-04 1;PN;18:29:59.52;-19:40:37.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 13+04 1;PN;17:58:58.36;-15:32:16.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 13+32 1;PN;16:21:04.44;-00:16:11.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 13-03 1;PN;18:29:29.77;-19:05:44.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 13-07 1;PN;18:45:35.45;-20:35:00.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 14-07 1;PN;18:44:01.61;-19:54:55.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 14-04 1;PN;18:33:20.86;-18:16:30.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 14+06 1;PN;17:54:24.96;-12:48:17.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 15-04 1;PN;18:35:48.27;-17:36:08.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 15-03 1;PN;18:30:11.27;-16:45:26.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 15+03 1;PN;18:07:30.80;-13:28:51.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 16+13 1;PN;17:31:31.45;-08:19:10.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 16-04 1;PN;18:36:08.40;-16:59:58.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 16-04 2;PN;18:37:46.30;-17:05:46.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 16-01 1;PN;18:27:56.77;-15:32:57.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 17-21 1;PN;19:46:33.76;-23:08:12.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 17-10 1;PN;19:01:01.06;-18:12:15.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 17-02 1;PN;18:33:58.38;-14:52:26.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 17-04 1;PN;18:41:15.14;-15:33:46.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 18+20 1;PN;17:12:51.28;-03:15:57.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 18-02 1;PN;18:33:03.77;-13:44:20.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 18+03 1;PN;18:12:09.60;-10:42:58.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 18+04 1;PN;18:10:26.15;-10:29:08.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 19-02 1;PN;18:34:13.85;-13:12:24.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 19-05 1;PN;18:45:55.12;-14:27:37.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 19-19 1;PN;19:40:32.48;-20:27:00.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 19+03 1;PN;18:15:16.76;-10:10:11.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 19-04 1;PN;18:43:38.13;-13:44:48.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 19-23 1;PN;19:57:31.81;-21:36:36.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 19+00 1;PN;18:24:07.86;-11:06:44.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 20-00 1;PN;18:30:17.43;-11:36:53.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 21-01 1;PN;18:33:28.81;-11:07:22.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 21-05 1;PN;18:51:30.69;-13:10:36.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 21-00 2;PN;18:33:14.67;-10:15:07.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 21-00 1;PN;18:32:41.19;-10:05:48.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 22-03 1;PN;18:42:57.02;-11:06:53.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 22-02 1;PN;18:40:20.21;-10:39:47.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
