Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names;NED notes;OpenNGC notes;Sources
Sh2-127;HII;21:28:41.91;+54:37:14.7;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-128;HII;21:32:08.82;+55:51:33.3;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-129;HII;21:11:44.92;+59:57:40.7;;140;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-130;HII;20:42:59.65;+63:13:42.5;;3;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-131;HII;21:39:00.32;+57:29:09.1;;170;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-132;HII;22:18:47.67;+56:08:05.2;;90;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-133;HII;21:28:59.95;+64:18:18.8;;80;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-134;HII;22:11:29.88;+59:24:37.2;;160;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-135;HII;22:22:11.65;+58:44:18.1;;15;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-136;HII;21:16:29.68;+68:15:11.4;;5;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-137;HII;21:57:07.16;+64:41:37.1;;90;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-138;HII;22:32:39.53;+58:28:54.5;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-139;HII;22:35:00.38;+58:13:02.1;;10;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-140;HII;22:19:07.84;+63:17:07.4;;30;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-141;HII;22:28:30.46;+61:38:40.8;;5;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-142;HII;22:47:35.73;+58:03:39.8;;30;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-143;HII;22:50:14.92;+57:42:47.0;;4;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-144;HII;22:44:52.17;+59:53:32.2;;4;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-145;HII;22:25:33.63;+64:18:30.9;;90;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-146;HII;22:49:26.34;+59:55:44.9;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-147;HII;22:55:29.70;+58:28:00.5;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-148;HII;22:56:12.21;+58:31:02.3;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-149;HII;22:56:24.36;+58:32:02.8;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-150;HII;22:31:11.94;+65:06:50.4;;40;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-151;HII;23:03:03.35;+57:04:18.2;;20;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-152;HII;22:58:37.78;+58:47:08.2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-153;HII;22:59:14.45;+58:44:09.6;;5;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-154;HII;22:51:24.63;+61:10:50.2;;60;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-155;HII;22:56:43.78;+62:37:03.8;;60;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-156;HII;23:05:10.55;+60:15:23.0;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-157;HII;23:16:03.57;+60:02:44.0;;90;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-158;HII;23:13:40.31;+61:30:39.8;;10;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-159;HII;23:15:43.15;+61:08:43.4;;7;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-160;HII;23:05:47.69;+64:40:24.5;;80;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-161;HII;23:15:29.47;+61:51:43.0;;55;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-162;HII;23:20:42.13;+61:11:51.7;;40;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-163;HII;23:33:19.60;+60:47:08.4;;10;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-164;HII;23:38:25.57;+59:58:13.5;;3;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-165;HII;23:39:49.08;+61:56:14.7;;10;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-166;HII;23:42:10.44;+60:58:16.6;;10;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-167;HII;23:35:22.47;+64:51:10.6;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-168;HII;23:53:03.82;+60:28:22.7;;7;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-169;HII;23:53:58.78;+60:22:23.0;;5;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-170;HII;00:01:42.38;+64:37:24.4;;20;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-171;HII;00:04:40.26;+67:09:24.3;;180;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-172;HII;00:15:32.93;+61:15:21.3;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-173;HII;00:21:51.89;+61:44:17.4;;30;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-174;HII;23:46:49.26;+80:56:19.9;;10;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-175;HII;00:27:19.21;+64:42:12.9;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-176;HII;00:31:39.27;+57:17:08.5;;10;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-177;HII;00:31:33.08;+62:28:08.7;;40;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-178;HII;22:18:56.25;+87:45:41.8;;420;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-179;HII;00:40:25.40;+62:51:57.6;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-180;HII;00:48:46.69;+62:55:44.5;;15;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-181;HII;00:49:16.67;+65:12:43.7;;15;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-182;HII;00:50:16.67;+64:44:42.0;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-183;HII;00:53:59.81;+65:42:35.2;;35;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-184;HII;00:52:50.77;+56:36:37.1;;40;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-185;HII;01:00:00.02;+60:59:22.8;;120;;;;;;;;;;;;;;;;;;;;;;;;;;
