Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names;NED notes;OpenNGC notes;Sources
LBN 213;Neb;20:03:45.46;+40:08:31.9;;20;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 214;Neb;20:07:46.68;+39:43:46.9;;4;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 215;Neb;20:15:49.20;+38:49:16.3;;40;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 216;Neb;20:06:46.13;+39:58:43.3;;45;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 217;Neb;20:04:45.31;+40:18:35.6;;15;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 218;Neb;20:30:54.07;+36:55:09.8;;10;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 219;Neb;20:29:53.69;+37:05:06.4;;30;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 220;Neb;21:47:18.67;+22:23:56.0;;25;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 221;Neb;19:49:39.53;+42:27:38.2;;52;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 222;Neb;20:07:45.41;+40:28:46.9;;180;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 223;Neb;20:12:46.90;+39:59:05.3;;20;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 224;Neb;20:24:50.90;+38:29:48.8;;150;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 225;Neb;19:31:33.10;+44:36:26.6;;210;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 226;Neb;20:31:53.11;+37:40:13.4;;110;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 227;Neb;20:06:44.11;+41:08:43.1;;100;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 228;Neb;19:53:39.72;+42:37:53.8;;35;;;;;;;;;;;;;;;;;;;;;;;;;;
